"scaffold","genbank.accn","refseq.accn","scaffold.len"
"phaCin_unsw_v4.1.fa.scaf00297","MSTS01000297.1","NW_018344248.1",2620530
"phaCin_unsw_v4.1.fa.scaf00298","MSTS01000298.1","NW_018344249.1",2604885
"phaCin_unsw_v4.1.fa.scaf00299","MSTS01000299.1","NW_018344250.1",2593464
"phaCin_unsw_v4.1.fa.scaf00300","MSTS01000300.1","NW_018344251.1",2573044
"phaCin_unsw_v4.1.fa.scaf00301","MSTS01000301.1","NW_018344252.1",2494284
"phaCin_unsw_v4.1.fa.scaf00302","MSTS01000302.1","NW_018344253.1",2489164
"phaCin_unsw_v4.1.fa.scaf00303","MSTS01000303.1","NW_018344254.1",2485966
"phaCin_unsw_v4.1.fa.scaf00304","MSTS01000304.1","NW_018344255.1",2452034
"phaCin_unsw_v4.1.fa.scaf00305","MSTS01000305.1","NW_018344256.1",2447732
"phaCin_unsw_v4.1.fa.scaf00306","MSTS01000306.1","NW_018344257.1",2411291
"phaCin_unsw_v4.1.fa.scaf00307","MSTS01000307.1","NW_018344258.1",2397092
"phaCin_unsw_v4.1.fa.scaf00308","MSTS01000308.1","NW_018344259.1",2391503
"phaCin_unsw_v4.1.fa.scaf00309","MSTS01000309.1","NW_018344260.1",2373455
"phaCin_unsw_v4.1.fa.scaf00310","MSTS01000310.1","NW_018344261.1",2372240
"phaCin_unsw_v4.1.fa.scaf00311","MSTS01000311.1","NW_018344262.1",2369681
"phaCin_unsw_v4.1.fa.scaf00312","MSTS01000312.1","NW_018344263.1",2352960
"phaCin_unsw_v4.1.fa.scaf00313","MSTS01000313.1","NW_018344264.1",2340134
"phaCin_unsw_v4.1.fa.scaf00314","MSTS01000314.1","NW_018344265.1",2333025
"phaCin_unsw_v4.1.fa.scaf00315","MSTS01000315.1","NW_018344266.1",2297063
"phaCin_unsw_v4.1.fa.scaf00316","MSTS01000316.1","NW_018344267.1",2282922
"phaCin_unsw_v4.1.fa.scaf00317","MSTS01000317.1","NW_018344268.1",2273872
"phaCin_unsw_v4.1.fa.scaf00318","MSTS01000318.1","NW_018344269.1",2218933
"phaCin_unsw_v4.1.fa.scaf00319","MSTS01000319.1","NW_018344270.1",2184841
"phaCin_unsw_v4.1.fa.scaf00320","MSTS01000320.1","NW_018344271.1",2152402
"phaCin_unsw_v4.1.fa.scaf00321","MSTS01000321.1","NW_018344272.1",2151997
"phaCin_unsw_v4.1.fa.scaf00322","MSTS01000322.1","NW_018344273.1",2141392
"phaCin_unsw_v4.1.fa.scaf00323","MSTS01000323.1","NW_018344274.1",2107066
"phaCin_unsw_v4.1.fa.scaf00324","MSTS01000324.1","NW_018344275.1",2103088
"phaCin_unsw_v4.1.fa.scaf00325","MSTS01000325.1","NW_018344276.1",2099726
"phaCin_unsw_v4.1.fa.scaf00326","MSTS01000326.1","NW_018344277.1",2055918
"phaCin_unsw_v4.1.fa.scaf00327","MSTS01000327.1","NW_018344278.1",2053902
"phaCin_unsw_v4.1.fa.scaf00328","MSTS01000328.1","NW_018344279.1",2021188
"phaCin_unsw_v4.1.fa.scaf00329","MSTS01000329.1","NW_018344280.1",1977159
"phaCin_unsw_v4.1.fa.scaf00330","MSTS01000330.1","NW_018344281.1",1965402
"phaCin_unsw_v4.1.fa.scaf00331","MSTS01000331.1","NW_018344282.1",1941070
"phaCin_unsw_v4.1.fa.scaf00332","MSTS01000332.1","NW_018344283.1",1927111
"phaCin_unsw_v4.1.fa.scaf00333","MSTS01000333.1","NW_018344284.1",1905346
"phaCin_unsw_v4.1.fa.scaf00334","MSTS01000334.1","NW_018344285.1",1902928
"phaCin_unsw_v4.1.fa.scaf00335","MSTS01000335.1","NW_018344286.1",1882183
"phaCin_unsw_v4.1.fa.scaf00336","MSTS01000336.1","NW_018344287.1",1870676
"phaCin_unsw_v4.1.fa.scaf00337","MSTS01000337.1","NW_018344288.1",1860019
"phaCin_unsw_v4.1.fa.scaf00338","MSTS01000338.1","NW_018344289.1",1801831
"phaCin_unsw_v4.1.fa.scaf00339","MSTS01000339.1","NW_018344290.1",1795004
"phaCin_unsw_v4.1.fa.scaf00340","MSTS01000340.1","NW_018344291.1",1786220
"phaCin_unsw_v4.1.fa.scaf00341","MSTS01000341.1","NW_018344292.1",1783104
"phaCin_unsw_v4.1.fa.scaf00342","MSTS01000342.1","NW_018344293.1",1779368
"phaCin_unsw_v4.1.fa.scaf00343","MSTS01000343.1","NW_018344294.1",1738033
"phaCin_unsw_v4.1.fa.scaf00344","MSTS01000344.1","NW_018344295.1",1725607
"phaCin_unsw_v4.1.fa.scaf00345","MSTS01000345.1","NW_018344296.1",1689088
"phaCin_unsw_v4.1.fa.scaf00346","MSTS01000346.1","NW_018344297.1",1678995
"phaCin_unsw_v4.1.fa.scaf00347","MSTS01000347.1","NW_018344298.1",1650515
"phaCin_unsw_v4.1.fa.scaf00348","MSTS01000348.1","NW_018344299.1",1638257
"phaCin_unsw_v4.1.fa.scaf00349","MSTS01000349.1","NW_018344300.1",1634181
"phaCin_unsw_v4.1.fa.scaf00350","MSTS01000350.1","NW_018344301.1",1605815
"phaCin_unsw_v4.1.fa.scaf00351","MSTS01000351.1","NW_018344302.1",1603846
"phaCin_unsw_v4.1.fa.scaf00352","MSTS01000352.1","NW_018344303.1",1599916
"phaCin_unsw_v4.1.fa.scaf00353","MSTS01000353.1","NW_018344304.1",1598730
"phaCin_unsw_v4.1.fa.scaf00354","MSTS01000354.1","NW_018344305.1",1575328
"phaCin_unsw_v4.1.fa.scaf00355","MSTS01000355.1","NW_018344306.1",1570461
"phaCin_unsw_v4.1.fa.scaf00356","MSTS01000356.1","NW_018344307.1",1532987
"phaCin_unsw_v4.1.fa.scaf00357","MSTS01000357.1","NW_018344308.1",1491447
"phaCin_unsw_v4.1.fa.scaf00358","MSTS01000358.1","NW_018344309.1",1484322
"phaCin_unsw_v4.1.fa.scaf00359","MSTS01000359.1","NW_018344310.1",1428266
"phaCin_unsw_v4.1.fa.scaf00360","MSTS01000360.1","NW_018344311.1",1423457
"phaCin_unsw_v4.1.fa.scaf00361","MSTS01000361.1","NW_018344312.1",1402234
"phaCin_unsw_v4.1.fa.scaf00362","MSTS01000362.1","NW_018344313.1",1389210
"phaCin_unsw_v4.1.fa.scaf00363","MSTS01000363.1","NW_018344314.1",1377274
"phaCin_unsw_v4.1.fa.scaf00364","MSTS01000364.1","NW_018344315.1",1365793
"phaCin_unsw_v4.1.fa.scaf00365","MSTS01000365.1","NW_018344316.1",1348131
"phaCin_unsw_v4.1.fa.scaf00366","MSTS01000366.1","NW_018344317.1",1298548
"phaCin_unsw_v4.1.fa.scaf00367","MSTS01000367.1","NW_018344318.1",1294591
"phaCin_unsw_v4.1.fa.scaf00368","MSTS01000368.1","NW_018344319.1",1285903
"phaCin_unsw_v4.1.fa.scaf00369","MSTS01000369.1","NW_018344320.1",1270144
"phaCin_unsw_v4.1.fa.scaf00370","MSTS01000370.1","NW_018344321.1",1253483
"phaCin_unsw_v4.1.fa.scaf00371","MSTS01000371.1","NW_018344322.1",1239019
"phaCin_unsw_v4.1.fa.scaf00372","MSTS01000372.1","NW_018344323.1",1214786
"phaCin_unsw_v4.1.fa.scaf00373","MSTS01000373.1","NW_018344324.1",1164671
"phaCin_unsw_v4.1.fa.scaf00374","MSTS01000374.1","NW_018344325.1",1150386
"phaCin_unsw_v4.1.fa.scaf00375","MSTS01000375.1","NW_018344326.1",1139756
"phaCin_unsw_v4.1.fa.scaf00376","MSTS01000376.1","NW_018344327.1",1108405
"phaCin_unsw_v4.1.fa.scaf00377","MSTS01000377.1","NW_018344328.1",1071856
"phaCin_unsw_v4.1.fa.scaf00378","MSTS01000378.1","NW_018344329.1",1048111
"phaCin_unsw_v4.1.fa.scaf00379","MSTS01000379.1","NW_018344330.1",1033665
"phaCin_unsw_v4.1.fa.scaf00380","MSTS01000380.1","NW_018344331.1",1024319
"phaCin_unsw_v4.1.fa.scaf00381","MSTS01000381.1","NW_018344332.1",1011865
"phaCin_unsw_v4.1.fa.scaf00382","MSTS01000382.1","NW_018344333.1",1010956
"phaCin_unsw_v4.1.fa.scaf00383","MSTS01000383.1","NW_018344334.1",1008650
"phaCin_unsw_v4.1.fa.scaf00384","MSTS01000384.1","NW_018344335.1",974783
"phaCin_unsw_v4.1.fa.scaf00385","MSTS01000385.1","NW_018344336.1",972020
"phaCin_unsw_v4.1.fa.scaf00386","MSTS01000386.1","NW_018344337.1",969225
"phaCin_unsw_v4.1.fa.scaf00387","MSTS01000387.1","NW_018344338.1",959437
"phaCin_unsw_v4.1.fa.scaf00388","MSTS01000388.1","NW_018344339.1",916756
"phaCin_unsw_v4.1.fa.scaf00389","MSTS01000389.1","NW_018344340.1",907501
"phaCin_unsw_v4.1.fa.scaf00390","MSTS01000390.1","NW_018344341.1",886607
"phaCin_unsw_v4.1.fa.scaf00391","MSTS01000391.1","NW_018344342.1",874492
"phaCin_unsw_v4.1.fa.scaf00392","MSTS01000392.1","NW_018344343.1",872160
"phaCin_unsw_v4.1.fa.scaf00393","MSTS01000393.1","NW_018344344.1",867479
"phaCin_unsw_v4.1.fa.scaf00394","MSTS01000394.1","NW_018344345.1",836706
"phaCin_unsw_v4.1.fa.scaf00395","MSTS01000395.1","NW_018344346.1",763336
"phaCin_unsw_v4.1.fa.scaf00396","MSTS01000396.1","NW_018344347.1",734528
"phaCin_unsw_v4.1.fa.scaf00397","MSTS01000397.1","NW_018344348.1",717527
"phaCin_unsw_v4.1.fa.scaf00398","MSTS01000398.1","NW_018344349.1",707644
"phaCin_unsw_v4.1.fa.scaf00399","MSTS01000399.1","NW_018344350.1",696955
"phaCin_unsw_v4.1.fa.scaf00400","MSTS01000400.1","NW_018344351.1",692347
"phaCin_unsw_v4.1.fa.scaf00401","MSTS01000401.1","NW_018344352.1",684620
"phaCin_unsw_v4.1.fa.scaf00402","MSTS01000402.1","NW_018344353.1",676228
"phaCin_unsw_v4.1.fa.scaf00403","MSTS01000403.1","NW_018344354.1",628141
"phaCin_unsw_v4.1.fa.scaf00404","MSTS01000404.1","NW_018344355.1",621765
"phaCin_unsw_v4.1.fa.scaf00405","MSTS01000405.1","NW_018344356.1",579840
"phaCin_unsw_v4.1.fa.scaf00406","MSTS01000406.1","NW_018344357.1",567596
"phaCin_unsw_v4.1.fa.scaf00407","MSTS01000407.1","NW_018344358.1",546134
"phaCin_unsw_v4.1.fa.scaf00408","MSTS01000408.1","NW_018344359.1",536514
"phaCin_unsw_v4.1.fa.scaf00409","MSTS01000409.1","NW_018344360.1",532794
"phaCin_unsw_v4.1.fa.scaf00410","MSTS01000410.1","NW_018344361.1",524141
"phaCin_unsw_v4.1.fa.scaf00411","MSTS01000411.1","NW_018344362.1",521460
"phaCin_unsw_v4.1.fa.scaf00412","MSTS01000412.1","NW_018344363.1",518830
"phaCin_unsw_v4.1.fa.scaf00413","MSTS01000413.1","NW_018344364.1",512049
"phaCin_unsw_v4.1.fa.scaf00414","MSTS01000414.1","NW_018344365.1",508742
"phaCin_unsw_v4.1.fa.scaf00415","MSTS01000415.1","NW_018344366.1",502396
"phaCin_unsw_v4.1.fa.scaf00416","MSTS01000416.1","NW_018344367.1",497653
"phaCin_unsw_v4.1.fa.scaf00417","MSTS01000417.1","NW_018344368.1",495887
"phaCin_unsw_v4.1.fa.scaf00418","MSTS01000418.1","NW_018344369.1",481352
"phaCin_unsw_v4.1.fa.scaf00419","MSTS01000419.1","NW_018344370.1",475585
"phaCin_unsw_v4.1.fa.scaf00420","MSTS01000420.1","NW_018344371.1",459107
"phaCin_unsw_v4.1.fa.scaf00421","MSTS01000421.1","NW_018344372.1",456783
"phaCin_unsw_v4.1.fa.scaf00422","MSTS01000422.1","NW_018344373.1",444014
"phaCin_unsw_v4.1.fa.scaf00423","MSTS01000423.1","NW_018344374.1",437501
"phaCin_unsw_v4.1.fa.scaf00424","MSTS01000424.1","NW_018344375.1",421654
"phaCin_unsw_v4.1.fa.scaf00425","MSTS01000425.1","NW_018344376.1",420825
"phaCin_unsw_v4.1.fa.scaf00426","MSTS01000426.1","NW_018344377.1",415969
"phaCin_unsw_v4.1.fa.scaf00427","MSTS01000427.1","NW_018344378.1",405553
"phaCin_unsw_v4.1.fa.scaf00428","MSTS01000428.1","NW_018344379.1",380454
"phaCin_unsw_v4.1.fa.scaf00429","MSTS01000429.1","NW_018344380.1",380260
"phaCin_unsw_v4.1.fa.scaf00430","MSTS01000430.1","NW_018344381.1",375378
"phaCin_unsw_v4.1.fa.scaf00431","MSTS01000431.1","NW_018344382.1",375005
"phaCin_unsw_v4.1.fa.scaf00432","MSTS01000432.1","NW_018344383.1",368752
"phaCin_unsw_v4.1.fa.scaf00433","MSTS01000433.1","NW_018344384.1",363664
"phaCin_unsw_v4.1.fa.scaf00434","MSTS01000434.1","NW_018344385.1",357092
"phaCin_unsw_v4.1.fa.scaf00435","MSTS01000435.1","NW_018344386.1",336093
"phaCin_unsw_v4.1.fa.scaf00436","MSTS01000436.1","NW_018344387.1",331223
"phaCin_unsw_v4.1.fa.scaf00437","MSTS01000437.1","NW_018344388.1",324480
"phaCin_unsw_v4.1.fa.scaf00438","MSTS01000438.1","NW_018344389.1",308909
"phaCin_unsw_v4.1.fa.scaf00439","MSTS01000439.1","NW_018344390.1",308814
"phaCin_unsw_v4.1.fa.scaf00440","MSTS01000440.1","NW_018344391.1",305263
"phaCin_unsw_v4.1.fa.scaf00441","MSTS01000441.1","NW_018344392.1",298255
"phaCin_unsw_v4.1.fa.scaf00442","MSTS01000442.1","NW_018344393.1",291671
"phaCin_unsw_v4.1.fa.scaf00443","MSTS01000443.1","NW_018344394.1",283007
"phaCin_unsw_v4.1.fa.scaf00444","MSTS01000444.1","NW_018344395.1",280422
"phaCin_unsw_v4.1.fa.scaf00445","MSTS01000445.1","NW_018344396.1",277694
"phaCin_unsw_v4.1.fa.scaf00446","MSTS01000446.1","NW_018344397.1",276018
"phaCin_unsw_v4.1.fa.scaf00447","MSTS01000447.1","NW_018344398.1",274522
"phaCin_unsw_v4.1.fa.scaf00448","MSTS01000448.1","NW_018344399.1",271060
"phaCin_unsw_v4.1.fa.scaf00449","MSTS01000449.1","NW_018344400.1",263583
"phaCin_unsw_v4.1.fa.scaf00450","MSTS01000450.1","NW_018344401.1",260956
"phaCin_unsw_v4.1.fa.scaf00451","MSTS01000451.1","NW_018344402.1",258110
"phaCin_unsw_v4.1.fa.scaf00452","MSTS01000452.1","NW_018344403.1",253702
"phaCin_unsw_v4.1.fa.scaf00453","MSTS01000453.1","NW_018344404.1",237684
"phaCin_unsw_v4.1.fa.scaf00454","MSTS01000454.1","NW_018344405.1",237317
"phaCin_unsw_v4.1.fa.scaf00455","MSTS01000455.1","NW_018344406.1",233942
"phaCin_unsw_v4.1.fa.scaf00456","MSTS01000456.1","NW_018344407.1",229479
"phaCin_unsw_v4.1.fa.scaf00457","MSTS01000457.1","NW_018344408.1",226263
"phaCin_unsw_v4.1.fa.scaf00458","MSTS01000458.1","NW_018344409.1",224554
"phaCin_unsw_v4.1.fa.scaf00459","MSTS01000459.1","NW_018344410.1",223872
"phaCin_unsw_v4.1.fa.scaf00460","MSTS01000460.1","NW_018344411.1",223710
"phaCin_unsw_v4.1.fa.scaf00461","MSTS01000461.1","NW_018344412.1",223162
"phaCin_unsw_v4.1.fa.scaf00462","MSTS01000462.1","NW_018344413.1",220638
"phaCin_unsw_v4.1.fa.scaf00463","MSTS01000463.1","NW_018344414.1",218040
"phaCin_unsw_v4.1.fa.scaf00464","MSTS01000464.1","NW_018344415.1",213474
"phaCin_unsw_v4.1.fa.scaf00465","MSTS01000465.1","NW_018344416.1",211000
"phaCin_unsw_v4.1.fa.scaf00466","MSTS01000466.1","NW_018344417.1",210521
"phaCin_unsw_v4.1.fa.scaf00467","MSTS01000467.1","NW_018344418.1",210322
"phaCin_unsw_v4.1.fa.scaf00468","MSTS01000468.1","NW_018344419.1",209307
"phaCin_unsw_v4.1.fa.scaf00469","MSTS01000469.1","NW_018344420.1",206734
"phaCin_unsw_v4.1.fa.scaf00470","MSTS01000470.1","NW_018344421.1",204458
"phaCin_unsw_v4.1.fa.scaf00471","MSTS01000471.1","NW_018344422.1",198060
"phaCin_unsw_v4.1.fa.scaf00472","MSTS01000472.1","NW_018344423.1",196941
"phaCin_unsw_v4.1.fa.scaf00473","MSTS01000473.1","NW_018344424.1",194703
"phaCin_unsw_v4.1.fa.scaf00474","MSTS01000474.1","NW_018344425.1",193517
"phaCin_unsw_v4.1.fa.scaf00475","MSTS01000475.1","NW_018344426.1",187769
"phaCin_unsw_v4.1.fa.scaf00476","MSTS01000476.1","NW_018344427.1",179158
"phaCin_unsw_v4.1.fa.scaf00477","MSTS01000477.1","NW_018344428.1",177498
"phaCin_unsw_v4.1.fa.scaf00478","MSTS01000478.1","NW_018344429.1",177470
"phaCin_unsw_v4.1.fa.scaf00479","MSTS01000479.1","NW_018344430.1",171928
"phaCin_unsw_v4.1.fa.scaf00480","MSTS01000480.1","NW_018344431.1",164927
"phaCin_unsw_v4.1.fa.scaf00481","MSTS01000481.1","NW_018344432.1",164558
"phaCin_unsw_v4.1.fa.scaf00482","MSTS01000482.1","NW_018344433.1",160972
"phaCin_unsw_v4.1.fa.scaf00483","MSTS01000483.1","NW_018344434.1",159412
"phaCin_unsw_v4.1.fa.scaf00484","MSTS01000484.1","NW_018344435.1",158707
"phaCin_unsw_v4.1.fa.scaf00485","MSTS01000485.1","NW_018344436.1",151018
"phaCin_unsw_v4.1.fa.scaf00486","MSTS01000486.1","NW_018344437.1",150221
"phaCin_unsw_v4.1.fa.scaf00487","MSTS01000487.1","NW_018344438.1",147455
"phaCin_unsw_v4.1.fa.scaf00488","MSTS01000488.1","NW_018344439.1",141085
"phaCin_unsw_v4.1.fa.scaf00489","MSTS01000489.1","NW_018344440.1",139687
"phaCin_unsw_v4.1.fa.scaf00490","MSTS01000490.1","NW_018344441.1",138727
"phaCin_unsw_v4.1.fa.scaf00491","MSTS01000491.1","NW_018344442.1",138108
"phaCin_unsw_v4.1.fa.scaf00492","MSTS01000492.1","NW_018344443.1",136516
"phaCin_unsw_v4.1.fa.scaf00493","MSTS01000493.1","NW_018344444.1",136254
"phaCin_unsw_v4.1.fa.scaf00494","MSTS01000494.1","NW_018344445.1",136141
"phaCin_unsw_v4.1.fa.scaf00495","MSTS01000495.1","NW_018344446.1",135764
"phaCin_unsw_v4.1.fa.scaf00496","MSTS01000496.1","NW_018344447.1",134118
"phaCin_unsw_v4.1.fa.scaf00497","MSTS01000497.1","NW_018344448.1",133650
"phaCin_unsw_v4.1.fa.scaf00498","MSTS01000498.1","NW_018344449.1",133571
"phaCin_unsw_v4.1.fa.scaf00499","MSTS01000499.1","NW_018344450.1",132411
"phaCin_unsw_v4.1.fa.scaf00500","MSTS01000500.1","NW_018344451.1",131925
"phaCin_unsw_v4.1.fa.scaf00501","MSTS01000501.1","NW_018344452.1",128209
"phaCin_unsw_v4.1.fa.scaf00502","MSTS01000502.1","NW_018344453.1",124989
"phaCin_unsw_v4.1.fa.scaf00503","MSTS01000503.1","NW_018344454.1",123792
"phaCin_unsw_v4.1.fa.scaf00504","MSTS01000504.1","NW_018344455.1",120693
"phaCin_unsw_v4.1.fa.scaf00505","MSTS01000505.1","NW_018344456.1",120609
"phaCin_unsw_v4.1.fa.scaf00506","MSTS01000506.1","NW_018344457.1",120242
"phaCin_unsw_v4.1.fa.scaf00507","MSTS01000507.1","NW_018344458.1",117712
"phaCin_unsw_v4.1.fa.scaf00508","MSTS01000508.1","NW_018344459.1",115350
"phaCin_unsw_v4.1.fa.scaf00509","MSTS01000509.1","NW_018344460.1",115045
"phaCin_unsw_v4.1.fa.scaf00510","MSTS01000510.1","NW_018344461.1",114883
"phaCin_unsw_v4.1.fa.scaf00511","MSTS01000511.1","NW_018344462.1",114718
"phaCin_unsw_v4.1.fa.scaf00512","MSTS01000512.1","NW_018344463.1",111246
"phaCin_unsw_v4.1.fa.scaf00513","MSTS01000513.1","NW_018344464.1",110700
"phaCin_unsw_v4.1.fa.scaf00514","MSTS01000514.1","NW_018344465.1",110588
"phaCin_unsw_v4.1.fa.scaf00515","MSTS01000515.1","NW_018344466.1",106143
"phaCin_unsw_v4.1.fa.scaf00516","MSTS01000516.1","NW_018344467.1",106084
"phaCin_unsw_v4.1.fa.scaf00517","MSTS01000517.1","NW_018344468.1",105836
"phaCin_unsw_v4.1.fa.scaf00518","MSTS01000518.1","NW_018344469.1",105521
"phaCin_unsw_v4.1.fa.scaf00519","MSTS01000519.1","NW_018344470.1",104578
"phaCin_unsw_v4.1.fa.scaf00520","MSTS01000520.1","NW_018344471.1",104333
"phaCin_unsw_v4.1.fa.scaf00521","MSTS01000521.1","NW_018344472.1",102031
"phaCin_unsw_v4.1.fa.scaf00522","MSTS01000522.1","NW_018344473.1",101952
"phaCin_unsw_v4.1.fa.scaf00523","MSTS01000523.1","NW_018344474.1",99869
"phaCin_unsw_v4.1.fa.scaf00524","MSTS01000524.1","NW_018344475.1",99439
"phaCin_unsw_v4.1.fa.scaf00525","MSTS01000525.1","NW_018344476.1",99272
"phaCin_unsw_v4.1.fa.scaf00526","MSTS01000526.1","NW_018344477.1",98958
"phaCin_unsw_v4.1.fa.scaf00527","MSTS01000527.1","NW_018344478.1",98890
"phaCin_unsw_v4.1.fa.scaf00528","MSTS01000528.1","NW_018344479.1",98788
"phaCin_unsw_v4.1.fa.scaf00529","MSTS01000529.1","NW_018344480.1",97119
"phaCin_unsw_v4.1.fa.scaf00530","MSTS01000530.1","NW_018344481.1",97063
"phaCin_unsw_v4.1.fa.scaf00531","MSTS01000531.1","NW_018344482.1",96681
"phaCin_unsw_v4.1.fa.scaf00532","MSTS01000532.1","NW_018344483.1",96425
"phaCin_unsw_v4.1.fa.scaf00533","MSTS01000533.1","NW_018344484.1",95957
"phaCin_unsw_v4.1.fa.scaf00534","MSTS01000534.1","NW_018344485.1",94301
"phaCin_unsw_v4.1.fa.scaf00535","MSTS01000535.1","NW_018344486.1",92583
"phaCin_unsw_v4.1.fa.scaf00536","MSTS01000536.1","NW_018344487.1",91617
"phaCin_unsw_v4.1.fa.scaf00537","MSTS01000537.1","NW_018344488.1",91236
"phaCin_unsw_v4.1.fa.scaf00538","MSTS01000538.1","NW_018344489.1",90273
"phaCin_unsw_v4.1.fa.scaf00539","MSTS01000539.1","NW_018344490.1",87637
"phaCin_unsw_v4.1.fa.scaf00540","MSTS01000540.1","NW_018344491.1",86402
"phaCin_unsw_v4.1.fa.scaf00541","MSTS01000541.1","NW_018344492.1",85500
"phaCin_unsw_v4.1.fa.scaf00542","MSTS01000542.1","NW_018344493.1",85157
"phaCin_unsw_v4.1.fa.scaf00543","MSTS01000543.1","NW_018344494.1",84720
"phaCin_unsw_v4.1.fa.scaf00544","MSTS01000544.1","NW_018344495.1",84567
"phaCin_unsw_v4.1.fa.scaf00545","MSTS01000545.1","NW_018344496.1",83815
"phaCin_unsw_v4.1.fa.scaf00546","MSTS01000546.1","NW_018344497.1",83724
"phaCin_unsw_v4.1.fa.scaf00547","MSTS01000547.1","NW_018344498.1",82927
"phaCin_unsw_v4.1.fa.scaf00548","MSTS01000548.1","NW_018344499.1",82089
"phaCin_unsw_v4.1.fa.scaf00549","MSTS01000549.1","NW_018344500.1",81127
"phaCin_unsw_v4.1.fa.scaf00550","MSTS01000550.1","NW_018344501.1",80903
"phaCin_unsw_v4.1.fa.scaf00551","MSTS01000551.1","NW_018344502.1",80112
"phaCin_unsw_v4.1.fa.scaf00552","MSTS01000552.1","NW_018344503.1",79368
"phaCin_unsw_v4.1.fa.scaf00553","MSTS01000553.1","NW_018344504.1",78697
"phaCin_unsw_v4.1.fa.scaf00554","MSTS01000554.1","NW_018344505.1",78157
"phaCin_unsw_v4.1.fa.scaf00555","MSTS01000555.1","NW_018344506.1",77711
"phaCin_unsw_v4.1.fa.scaf00556","MSTS01000556.1","NW_018344507.1",75602
"phaCin_unsw_v4.1.fa.scaf00557","MSTS01000557.1","NW_018344508.1",75550
"phaCin_unsw_v4.1.fa.scaf00558","MSTS01000558.1","NW_018344509.1",75440
"phaCin_unsw_v4.1.fa.scaf00559","MSTS01000559.1","NW_018344510.1",75144
"phaCin_unsw_v4.1.fa.scaf00560","MSTS01000560.1","NW_018344511.1",74431
"phaCin_unsw_v4.1.fa.scaf00561","MSTS01000561.1","NW_018344512.1",73949
"phaCin_unsw_v4.1.fa.scaf00562","MSTS01000562.1","NW_018344513.1",73518
"phaCin_unsw_v4.1.fa.scaf00563","MSTS01000563.1","NW_018344514.1",72781
"phaCin_unsw_v4.1.fa.scaf00564","MSTS01000564.1","NW_018344515.1",72709
"phaCin_unsw_v4.1.fa.scaf00565","MSTS01000565.1","NW_018344516.1",71418
"phaCin_unsw_v4.1.fa.scaf00566","MSTS01000566.1","NW_018344517.1",71320
"phaCin_unsw_v4.1.fa.scaf00567","MSTS01000567.1","NW_018344518.1",70312
"phaCin_unsw_v4.1.fa.scaf00568","MSTS01000568.1","NW_018344519.1",70029
"phaCin_unsw_v4.1.fa.scaf00569","MSTS01000569.1","NW_018344520.1",69512
"phaCin_unsw_v4.1.fa.scaf00570","MSTS01000570.1","NW_018344521.1",69484
"phaCin_unsw_v4.1.fa.scaf00571","MSTS01000571.1","NW_018344522.1",68728
"phaCin_unsw_v4.1.fa.scaf00572","MSTS01000572.1","NW_018344523.1",68526
"phaCin_unsw_v4.1.fa.scaf00573","MSTS01000573.1","NW_018344524.1",68522
"phaCin_unsw_v4.1.fa.scaf00574","MSTS01000574.1","NW_018344525.1",68419
"phaCin_unsw_v4.1.fa.scaf00575","MSTS01000575.1","NW_018344526.1",68282
"phaCin_unsw_v4.1.fa.scaf00576","MSTS01000576.1","NW_018344527.1",68078
"phaCin_unsw_v4.1.fa.scaf00577","MSTS01000577.1","NW_018344528.1",68077
"phaCin_unsw_v4.1.fa.scaf00578","MSTS01000578.1","NW_018344529.1",67849
"phaCin_unsw_v4.1.fa.scaf00579","MSTS01000579.1","NW_018344530.1",67454
"phaCin_unsw_v4.1.fa.scaf00580","MSTS01000580.1","NW_018344531.1",66532
"phaCin_unsw_v4.1.fa.scaf00581","MSTS01000581.1","NW_018344532.1",66221
"phaCin_unsw_v4.1.fa.scaf00582","MSTS01000582.1","NW_018344533.1",65775
"phaCin_unsw_v4.1.fa.scaf00583","MSTS01000583.1","NW_018344534.1",65728
"phaCin_unsw_v4.1.fa.scaf00584","MSTS01000584.1","NW_018344535.1",65701
"phaCin_unsw_v4.1.fa.scaf00585","MSTS01000585.1","NW_018344536.1",65656
"phaCin_unsw_v4.1.fa.scaf00586","MSTS01000586.1","NW_018344537.1",65350
"phaCin_unsw_v4.1.fa.scaf00587","MSTS01000587.1","NW_018344538.1",64600
"phaCin_unsw_v4.1.fa.scaf00588","MSTS01000588.1","NW_018344539.1",64524
"phaCin_unsw_v4.1.fa.scaf00589","MSTS01000589.1","NW_018344540.1",64185
"phaCin_unsw_v4.1.fa.scaf00590","MSTS01000590.1","NW_018344541.1",64001
"phaCin_unsw_v4.1.fa.scaf00591","MSTS01000591.1","NW_018344542.1",63331
"phaCin_unsw_v4.1.fa.scaf00592","MSTS01000592.1","NW_018344543.1",63253
"phaCin_unsw_v4.1.fa.scaf00593","MSTS01000593.1","NW_018344544.1",63136
"phaCin_unsw_v4.1.fa.scaf00594","MSTS01000594.1","NW_018344545.1",63015
"phaCin_unsw_v4.1.fa.scaf00595","MSTS01000595.1","NW_018344546.1",62666
"phaCin_unsw_v4.1.fa.scaf00596","MSTS01000596.1","NW_018344547.1",62369
"phaCin_unsw_v4.1.fa.scaf00597","MSTS01000597.1","NW_018344548.1",62166
